"userid","artistid","weight","tagid"
914,10,1332,86
1604,10,366,61
1827,10,611,NULL
313,11,138,NULL
325,11,176,NULL
777,11,136,NULL
914,11,762,86
914,11,762,565
1089,11,148,NULL
1827,11,632,NULL
108,12,1019,NULL
208,12,42,NULL
433,12,265,742
433,12,265,3509
433,12,265,2096
433,12,265,743
491,12,315,NULL
546,12,1746,2096
548,12,57,NULL
586,12,1570,NULL
607,12,120,NULL
616,12,131,4
616,12,131,5
616,12,131,188
798,12,154,NULL
1018,12,375,NULL
1287,12,271,NULL
1296,12,56,NULL
1352,12,141,NULL
1493,12,145,9613
1493,12,145,9614
1536,12,45,NULL
1924,12,1737,NULL
2060,12,122,NULL
2100,12,1253,NULL
39,13,76,565
39,13,76,9
39,13,76,86
277,13,639,NULL
325,13,263,NULL
438,13,6,NULL
519,13,205,NULL
935,13,122,18
935,13,122,565
935,13,122,61
1089,13,134,NULL
1604,13,229,NULL
1841,13,163,NULL
2046,13,539,12
44,15,117,NULL
108,15,278,NULL
154,15,13,1532
208,15,114,NULL
235,15,601,4
235,15,601,1532
277,15,370,NULL
313,15,100,NULL
377,15,949,3135
377,15,949,4
377,15,949,1532
377,15,949,5
424,15,280,NULL
433,15,291,NULL
449,15,137,NULL
459,15,3124,3509
459,15,3124,3335
459,15,3124,5
459,15,3124,4
459,15,3124,285
459,15,3124,1482
459,15,3124,1532
459,15,3124,2092
459,15,3124,1
459,15,3124,3707
459,15,3124,3706
459,15,3124,3705
459,15,3124,3704
459,15,3124,3343
579,15,238,1532
592,15,388,NULL
706,15,116,1532
715,15,198,NULL
950,15,128,NULL
1018,15,367,NULL
1093,15,62,7155
1147,15,64,NULL
1287,15,77,NULL
1296,15,339,NULL
1536,15,53,NULL
1619,15,338,NULL
1782,15,36,NULL
1944,15,185,NULL
304,16,19,NULL
496,16,88,NULL
714,16,148,5033
714,16,148,1478
714,16,148,3678
714,16,148,4300
714,16,148,2548
1601,16,236,NULL
1679,16,131,575
1679,16,131,179
1679,16,131,190
1774,16,77,179
1774,16,77,575
1774,16,77,61
1841,16,461,NULL
2055,16,221,1097
277,17,457,NULL
438,17,10,NULL
557,17,197,10
557,17,197,12
557,17,197,61
557,17,197,565
777,17,500,NULL
914,17,577,NULL
1125,17,39,NULL
154,18,13,NULL
257,18,137,NULL
320,18,416,61
557,18,720,179
557,18,720,202
557,18,720,575
557,18,720,1478
557,18,720,61
566,18,90,NULL
729,18,59,NULL
1500,18,92,NULL
1551,18,808,NULL
1679,18,830,575
1679,18,830,179
1679,18,830,187
1679,18,830,190
2055,18,655,1097
39,19,57,NULL
73,19,374,966
73,19,374,964
73,19,374,959
73,19,374,967
257,19,265,NULL
438,19,7,NULL
455,19,2496,86
455,19,2496,3673
455,19,2496,61
455,19,2496,18
777,19,126,NULL
914,19,1302,NULL
926,19,212,9
926,19,212,1447
951,19,814,NULL
1125,19,81,NULL
1393,19,1458,NULL
1427,19,635,NULL
1827,19,858,NULL
548,20,60,2092
548,20,60,4
548,20,60,1532
262,21,110,NULL
444,22,58,NULL
433,23,183,6
433,23,183,3508
433,23,183,18
546,23,1000,6
546,23,1000,4
548,23,39,NULL
1026,23,477,6765
1026,23,477,6
1026,23,477,61
1026,23,477,6763
1026,23,477,6773
257,24,114,NULL
438,24,11,NULL
1125,24,43,NULL
1841,24,122,NULL
26,25,177,NULL
44,25,145,NULL
84,25,77,7
84,25,77,4
84,25,77,5
205,25,649,NULL
313,25,659,1
316,25,640,NULL
377,25,3205,1532
377,25,3205,5
424,25,283,NULL
433,25,273,NULL
459,25,626,NULL
579,25,99,1532
595,25,1811,NULL
624,25,114,NULL
735,25,55,NULL
806,25,254,NULL
950,25,411,6312
950,25,411,850
950,25,411,1532
1026,25,234,6770
1026,25,234,6776
1183,25,327,1
1183,25,327,3343
1183,25,327,1532
1287,25,321,NULL
1352,25,103,NULL
1604,25,178,NULL
1619,25,1907,NULL
1923,25,920,NULL
1924,25,1346,NULL
2046,25,113,NULL
2053,25,239,4
277,26,549,NULL
438,26,9,NULL
59,27,1105,NULL
454,27,431,309
454,27,431,61
455,27,2690,86
455,27,2690,18
455,27,2690,61
455,27,2690,3673
802,27,16,NULL
1125,27,33,NULL
1464,27,801,NULL
108,28,675,NULL
208,28,86,4
548,28,48,4118
548,28,48,127
548,28,48,4
548,28,48,4117
548,28,48,2092
548,28,48,3706
548,28,48,2091
586,28,77,NULL
1531,28,312,NULL
2100,28,911,NULL
31,30,150,494
31,30,150,352
31,30,150,74
73,30,782,962
73,30,782,976
73,30,782,957
73,30,782,959
73,30,782,963
73,30,782,966
73,30,782,965
73,30,782,969
73,30,782,968
73,30,782,956
73,30,782,967
73,30,782,964
135,30,603,NULL
211,30,6713,17
211,30,6713,18
211,30,6713,2102
257,30,985,NULL
275,30,33,NULL
277,30,552,NULL
306,30,626,NULL
396,30,1331,30
396,30,1331,17
396,30,1331,88
396,30,1331,61
396,30,1331,90
396,30,1331,25
396,30,1331,302
396,30,1331,238
396,30,1331,18
396,30,1331,233
396,30,1331,1
396,30,1331,14
396,30,1331,16
396,30,1331,39
396,30,1331,86
397,30,221,3239
442,30,321,NULL
496,30,205,NULL
520,30,1525,NULL
596,30,586,575
596,30,586,395
596,30,586,179
596,30,586,74
596,30,586,61
596,30,586,33
596,30,586,18
596,30,586,16
694,30,264,NULL
729,30,232,NULL
762,30,287,NULL
767,30,6316,NULL
777,30,1131,NULL
802,30,2,NULL
850,30,12464,NULL
935,30,364,30
935,30,364,74
954,30,167,61
954,30,167,86
954,30,167,600
1067,30,368,NULL
1089,30,816,NULL
1125,30,58,NULL
1163,30,23,NULL
1213,30,21,NULL
1232,30,66,NULL
1427,30,493,NULL
1653,30,148,NULL
2046,30,1096,86
2046,30,1096,74
277,31,528,NULL
914,31,1018,NULL
1089,31,197,NULL
1393,31,391,NULL
40,32,411,86
40,32,411,601
40,32,411,127
40,32,411,602
257,32,305,NULL
438,32,4,NULL
455,32,4675,18
455,32,4675,61
455,32,4675,74
455,32,4675,86
455,32,4675,127
455,32,4675,575
455,32,4675,3673
557,32,164,86
557,32,164,74
557,32,164,600
566,32,207,NULL
611,32,6,NULL
686,32,804,18
686,32,804,127
850,32,1002,NULL
954,32,85,NULL
1089,32,518,18
1213,32,25,NULL
1500,32,149,NULL
1541,32,29,NULL
1551,32,676,NULL
2055,32,196,NULL
40,34,1585,602
40,34,1585,86
40,34,1585,604
257,34,176,NULL
313,34,424,NULL
506,34,81,NULL
557,34,164,NULL
1125,34,48,NULL
1493,34,128,NULL
1841,34,126,NULL
2046,34,155,NULL
59,36,810,187
59,36,810,232
59,36,810,61
59,36,810,285
59,36,810,796
59,36,810,802
59,36,810,6
73,36,294,NULL
142,36,75,NULL
455,36,3224,61
455,36,3224,18
455,36,3224,86
455,36,3224,3673
761,36,881,NULL
891,36,225,NULL
908,36,114,61
1125,36,66,NULL
1273,36,355,NULL
1427,36,533,NULL
1551,36,663,NULL
1865,36,205,NULL
2029,36,384,NULL
2046,36,741,189
2046,36,741,12431
257,37,220,NULL
438,37,5,NULL
1125,37,58,NULL
1393,37,346,NULL
1427,37,349,12
40,38,404,8
40,38,404,565
229,38,2,4
280,38,69,NULL
438,38,4,NULL
506,38,62,NULL
371,39,647,NULL
455,39,3564,827
455,39,3564,575
455,39,3564,179
455,39,3564,18
474,39,1491,NULL
496,39,89,NULL
516,39,5194,NULL
777,39,389,NULL
1063,39,76,NULL
1553,39,894,850
1553,39,894,9745
1553,39,894,30
1553,39,894,191
1553,39,894,575
1553,39,894,9846
1601,39,1016,NULL
1841,39,278,NULL
2004,39,178,NULL
49,40,79,228
49,40,79,719
49,40,79,81
49,40,79,79
98,40,87,NULL
176,40,543,NULL
567,40,762,NULL
714,40,85,NULL
844,40,453,18
844,40,453,84
844,40,453,5808
1280,40,322,127
1352,40,81,NULL
1393,40,342,NULL
1472,40,84,NULL
1524,40,654,NULL
1541,40,27,18
1541,40,27,39
1992,40,478,1964
2015,40,564,NULL
154,41,25,NULL
161,41,1048,NULL
257,41,150,NULL
438,41,15,NULL
914,41,562,NULL
1125,41,75,NULL
1393,41,480,NULL
438,43,5,NULL
1827,43,544,NULL
1841,43,114,NULL
257,44,155,NULL
36,45,321,NULL
273,45,498,NULL
320,45,774,61
367,45,1087,NULL
455,45,2396,61
455,45,2396,3673
504,45,106,NULL
512,45,887,NULL
652,45,87,NULL
792,45,428,127
839,45,706,5786
841,45,221,NULL
913,45,413,NULL
926,45,239,503
926,45,239,5786
927,45,2045,NULL
951,45,447,NULL
1011,45,4204,5786
1012,45,547,NULL
1020,45,257,NULL
1024,45,932,NULL
1028,45,131,NULL
1100,45,209,NULL
1216,45,186,NULL
1259,45,4589,127
1259,45,4589,8160
1371,45,493,NULL
1403,45,322,NULL
1442,45,392,5786
1479,45,239,18
1479,45,239,181
1522,45,43,181
1522,45,43,18
1522,45,43,61
1534,45,1786,127
1551,45,547,NULL
1613,45,446,NULL
1619,45,1360,5786
1701,45,71,NULL
1827,45,632,NULL
1842,45,357,NULL
1866,45,372,NULL
1947,45,243,NULL
2079,45,339,12575
2088,45,6,NULL
463,46,10,NULL
496,46,50,NULL
654,46,104,NULL
687,46,23,NULL
1597,46,177,NULL
39,47,50,NULL
108,47,506,NULL
548,47,41,524
548,47,41,3706
548,47,41,3510
548,47,41,4118
548,47,41,4119
548,47,41,2092
548,47,41,794
548,47,41,793
548,47,41,604
548,47,41,4120
548,47,41,4117
548,47,41,285
548,47,41,233
548,47,41,229
548,47,41,4
1287,47,40,NULL
1324,47,367,797
1324,47,367,4
1324,47,367,8558
1324,47,367,8556
1324,47,367,3605
1324,47,367,8557
2100,47,305,NULL
548,48,47,1532
1287,48,163,NULL
1358,48,218,NULL
257,49,148,NULL
438,49,12,NULL
506,49,185,NULL
686,49,949,127
686,49,949,61
1089,49,188,565
1125,49,37,NULL
729,50,24,NULL
908,50,30,61
1841,50,278,NULL
2,51,13883,NULL
4,51,228,16
4,51,228,25
27,51,85,NULL
28,51,10,NULL
62,51,528,231
62,51,528,835
62,51,528,662
62,51,528,508
62,51,528,213
62,51,528,195
62,51,528,56
62,51,528,25
62,51,528,18
62,51,528,17
62,51,528,395
62,51,528,16
62,51,528,230
62,51,528,831
62,51,528,801
63,51,563,16
66,51,910,892
66,51,910,900
66,51,910,899
66,51,910,897
66,51,910,896
66,51,910,885
66,51,910,895
66,51,910,889
66,51,910,919
66,51,910,887
73,51,1962,957
73,51,1962,972
73,51,1962,969
73,51,1962,968
73,51,1962,965
73,51,1962,964
73,51,1962,963
73,51,1962,962
73,51,1962,961
73,51,1962,956
73,51,1962,960
96,51,63,238
96,51,63,200
117,51,1244,16
117,51,1244,25
128,51,5254,NULL
141,51,548,NULL
142,51,221,NULL
176,51,4266,642
176,51,4266,1886
185,51,49,NULL
187,51,295,NULL
191,51,23,NULL
196,51,6015,25
196,51,6015,210
196,51,6015,192
196,51,6015,121
196,51,6015,352
196,51,6015,81
196,51,6015,395
196,51,6015,73
196,51,6015,195
196,51,6015,24
196,51,6015,18
196,51,6015,2006
196,51,6015,850
196,51,6015,16
196,51,6015,79
196,51,6015,389
211,51,128,NULL
224,51,303,509
224,51,303,395
263,51,386,NULL
264,51,524,505
264,51,524,16
264,51,524,74
264,51,524,134
264,51,524,195
266,51,55,NULL
269,51,26,NULL
275,51,77,NULL
290,51,23,363
290,51,23,395
306,51,76,NULL
338,51,2002,NULL
359,51,1317,16
359,51,1317,3049
374,51,71,3129
374,51,71,3130
397,51,60,NULL
423,51,732,1048
423,51,732,195
423,51,732,25
423,51,732,1100
428,51,61012,25
428,51,61012,2006
428,51,61012,16
428,51,61012,24
430,51,7488,3495
430,51,7488,447
430,51,7488,2006
430,51,7488,2520
430,51,7488,3496
436,51,2178,NULL
446,51,3669,74
446,51,3669,16
452,51,172,NULL
453,51,235,NULL
480,51,330,395
480,51,330,231
488,51,165,3830
488,51,165,16
488,51,165,25
499,51,7,NULL
515,51,274,127
539,51,42,NULL
540,51,4753,NULL
568,51,450,NULL
576,51,398,NULL
577,51,71,NULL
592,51,16725,209
596,51,536,NULL
643,51,940,19
643,51,940,2333
643,51,940,395
643,51,940,16
656,51,263,2006
658,51,220,NULL
683,51,3127,896
683,51,3127,919
683,51,3127,900
683,51,3127,519
683,51,3127,395
683,51,3127,364
683,51,3127,285
683,51,3127,122
683,51,3127,25
683,51,3127,16
683,51,3127,2580
683,51,3127,2700
683,51,3127,4864
683,51,3127,4871
686,51,719,NULL
694,51,332,4938
699,51,1010,16
699,51,1010,4955
699,51,1010,25
714,51,439,25
714,51,439,16
714,51,439,395
761,51,3500,1447
761,51,3500,395
761,51,3500,5318
761,51,3500,5316
761,51,3500,4897
761,51,3500,187
761,51,3500,200
761,51,3500,210
761,51,3500,2887
761,51,3500,2712
761,51,3500,2006
761,51,3500,1735
761,51,3500,238
761,51,3500,1446
761,51,3500,16
761,51,3500,18
761,51,3500,25
761,51,3500,26
761,51,3500,27
761,51,3500,39
761,51,3500,73
761,51,3500,74
761,51,3500,78
761,51,3500,79
761,51,3500,105
761,51,3500,5322
761,51,3500,5320
769,51,238,NULL
788,51,726,25
788,51,726,16
791,51,97,919
791,51,97,2006
791,51,97,25
791,51,97,42
791,51,97,395
791,51,97,4897
791,51,97,16
832,51,167,NULL
864,51,182,NULL
959,51,78,NULL
1003,51,919,25
1003,51,919,24
1010,51,18,2006
1010,51,18,6665
1029,51,330,4397
1029,51,330,850
1029,51,330,1097
1029,51,330,1424
1029,51,330,1495
1029,51,330,5094
1029,51,330,6798
1029,51,330,6815
1029,51,330,6805
1038,51,461,39
1038,51,461,79
1038,51,461,74
1038,51,461,2006
1038,51,461,25
1038,51,461,26
1038,51,461,395
1038,51,461,210
1038,51,461,16
1038,51,461,24
1074,51,1971,25
1089,51,109,NULL
1115,51,4,NULL
1149,51,15,NULL
1163,51,19,NULL
1192,51,618,25
1192,51,618,73
1200,51,1712,NULL
1202,51,3261,2006
1202,51,3261,2805
1202,51,3261,4897
1202,51,3261,7797
1202,51,3261,7800
1202,51,3261,7801
1202,51,3261,14
1202,51,3261,69
1202,51,3261,73
1202,51,3261,184
1202,51,3261,16
1202,51,3261,33
1202,51,3261,25
1202,51,3261,503
1202,51,3261,352
1202,51,3261,191
1202,51,3261,850
1202,51,3261,1447
1202,51,3261,1680
1202,51,3261,1956
1202,51,3261,185
1202,51,3261,18
1209,51,1073,447
1209,51,1073,127
1209,51,1073,7862
1210,51,103150,25
1210,51,103150,3605
1210,51,103150,395
1210,51,103150,352
1210,51,103150,210
1210,51,103150,127
1210,51,103150,74
1210,51,103150,16
1229,51,157,NULL
1232,51,65,NULL
1235,51,410,16
1235,51,410,24
1235,51,410,18
1249,51,235,NULL
1327,51,69,8587
1327,51,69,8573
1327,51,69,8618
1327,51,69,8617
1327,51,69,8574
1327,51,69,8613
1327,51,69,8612
1327,51,69,8576
1327,51,69,8611
1327,51,69,8605
1327,51,69,8577
1327,51,69,8604
1327,51,69,8580
1327,51,69,2551
1327,51,69,8582
1327,51,69,8584
1327,51,69,8599
1327,51,69,8597
1327,51,69,8596
1327,51,69,8579
1327,51,69,4103
1327,51,69,8595
1327,51,69,8572
1327,51,69,8594
1327,51,69,8592
1327,51,69,8590
1327,51,69,8586
1327,51,69,8589
1336,51,276,NULL
1343,51,14,NULL
1384,51,222,NULL
1427,51,2485,395
1454,51,332,395
1454,51,332,18
1454,51,332,16
1454,51,332,74
1454,51,332,25
1454,51,332,121
1454,51,332,127
1456,51,1447,NULL
1498,51,525,NULL
1505,51,451,NULL
1514,51,275,NULL
1541,51,148,NULL
1585,51,24657,17
1585,51,24657,1447
1585,51,24657,16
1585,51,24657,503
1585,51,24657,185
1585,51,24657,9973
1585,51,24657,2006
1585,51,24657,1990
1585,51,24657,1790
1585,51,24657,184
1585,51,24657,191
1585,51,24657,824
1585,51,24657,352
1643,51,21572,5322
1643,51,21572,127
1643,51,21572,25
1722,51,100,NULL
1724,51,111,NULL
1775,51,104,NULL
1818,51,1,NULL
1845,51,2303,4861
1845,51,2303,195
1845,51,2303,24
1845,51,2303,25
1853,51,344,NULL
1866,51,19190,7103
1866,51,19190,16
1866,51,19190,195
1881,51,2182,11504
1881,51,2182,11499
1900,51,721,2006
1900,51,721,25
1900,51,721,127
1900,51,721,195
1900,51,721,16
1900,51,721,24
1905,51,745,NULL
1956,51,817,NULL
1958,51,37,NULL
2014,51,265,12208
2025,51,647,NULL
2055,51,1716,1097
2075,51,166,NULL
2,52,11690,41
2,52,11690,21
2,52,11690,18
2,52,11690,15
2,52,11690,13
191,52,28,NULL
283,52,68,13
382,52,924,NULL
461,52,18,NULL
484,52,150,NULL
541,52,894,130
541,52,894,18
541,52,894,13
606,52,801,21
697,52,443,826
697,52,443,727
697,52,443,557
697,52,443,24
697,52,443,21
697,52,443,20
697,52,443,15
697,52,443,13
697,52,443,1492
1029,52,195,6808
1029,52,195,5083
1029,52,195,6794
1029,52,195,6796
1035,52,15,NULL
1185,52,684,NULL
1225,52,78,NULL
1587,52,2019,NULL
1676,52,125,NULL
1688,52,142,NULL
1700,52,93,21
1700,52,93,2336
1700,52,93,10534
1724,52,20,NULL
1728,52,118,NULL
1732,52,6,NULL
1931,52,24,NULL
2036,52,95,NULL
2047,52,157,NULL
2,53,11351,NULL
4,53,686,18
5,53,181,95
34,53,211,NULL
43,53,289,NULL
103,53,36,NULL
184,53,160,NULL
194,53,1284,NULL
243,53,957,NULL
315,53,308,NULL
358,53,140,NULL
366,53,1399,NULL
398,53,864,NULL
407,53,46,NULL
426,53,721,NULL
434,53,43,NULL
440,53,711,NULL
460,53,420,3708
490,53,427,18
493,53,18,NULL
540,53,1914,NULL
606,53,635,NULL
628,53,273,NULL
635,53,66,NULL
643,53,489,81
643,53,489,127
647,53,1026,4646
697,53,365,824
697,53,365,15
697,53,365,21
697,53,365,2362
697,53,365,727
718,53,704,NULL
756,53,18,18
756,53,18,13
756,53,18,79
756,53,18,187
756,53,18,81
756,53,18,321
765,53,356,18
765,53,356,13
802,53,14,NULL
813,53,97,508
837,53,209,18
893,53,135,NULL
896,53,616,NULL
925,53,883,NULL
928,53,24,NULL
968,53,464,NULL
990,53,652,NULL
997,53,627,187
1006,53,285,NULL
1049,53,73,20
1049,53,73,79
1049,53,73,14
1049,53,73,81
1049,53,73,18
1049,53,73,1911
1050,53,1060,NULL
1075,53,737,NULL
1098,53,27,13
1102,53,151,NULL
1130,53,289,NULL
1133,53,284,NULL
1173,53,1699,NULL
1225,53,59,NULL
1234,53,176,NULL
1239,53,233,NULL
1265,53,127,NULL
1383,53,342,NULL
1384,53,194,NULL
1491,53,196,NULL
1496,53,458,18
1496,53,458,13
1505,53,271,NULL
1587,53,577,NULL
1674,53,116,21
1691,53,205,NULL
1747,53,28,NULL
1785,53,986,NULL
1798,53,27,NULL
1801,53,48,NULL
1832,53,972,2349
1832,53,972,526
1832,53,972,309
1832,53,972,839
1832,53,972,14
1832,53,972,825
1832,53,972,26
1832,53,972,1492
1832,53,972,836
1836,53,3,NULL
1885,53,55,14
1885,53,55,13
1885,53,55,187
1905,53,88,NULL
1926,53,438,14
1926,53,438,18
1926,53,438,21
1926,53,438,79
1926,53,438,13
1926,53,438,393
1926,53,438,238
1958,53,47,352
1958,53,47,321
1958,53,47,18
1958,53,47,14
1992,53,540,NULL
2032,53,1399,NULL
2047,53,134,NULL
2080,53,2087,NULL
2,54,10300,NULL
62,54,125,NULL
128,54,470,NULL
141,54,61,NULL
283,54,133,NULL
441,54,115,NULL
606,54,560,NULL
802,54,2,NULL
972,54,118,393
972,54,118,6445
972,54,118,81
972,54,118,21
1098,54,44,NULL
1225,54,37,NULL
1282,54,190,NULL
1514,54,309,NULL
1587,54,375,NULL
1616,54,88,NULL
1728,54,92,NULL
1793,54,689,21
1926,54,2219,79
1926,54,2219,18
1926,54,2219,73
1926,54,2219,130
1926,54,2219,13
1926,54,2219,238
1926,54,2219,15
1926,54,2219,21
2,55,8983,NULL
7,55,3151,127
13,55,6,208
13,55,6,24
13,55,6,203
13,55,6,39
13,55,6,124
13,55,6,130
13,55,6,18
13,55,6,202
13,55,6,201
13,55,6,205
13,55,6,200
13,55,6,204
21,55,4097,25
21,55,4097,39
21,55,4097,49
21,55,4097,79
21,55,4097,81
21,55,4097,90
21,55,4097,127
21,55,4097,130
21,55,4097,187
21,55,4097,200
21,55,4097,360
21,55,4097,352
21,55,4097,350
21,55,4097,348
21,55,4097,347
21,55,4097,346
21,55,4097,309
21,55,4097,308
21,55,4097,208
21,55,4097,203
21,55,4097,18
21,55,4097,357
21,55,4097,358
21,55,4097,359
21,55,4097,351
21,55,4097,24
21,55,4097,363
21,55,4097,365
21,55,4097,366
21,55,4097,369
21,55,4097,372
24,55,5956,NULL
25,55,185,NULL
29,55,404,366
31,55,147,498
31,55,147,519
31,55,147,517
31,55,147,516
31,55,147,511
31,55,147,510
31,55,147,509
31,55,147,502
31,55,147,496
31,55,147,352
31,55,147,199
31,55,147,187
31,55,147,81
31,55,147,74
31,55,147,39
31,55,147,25
31,55,147,24
31,55,147,19
31,55,147,18
31,55,147,16
48,55,13,NULL
53,55,33,NULL
54,55,116,NULL
72,55,6,NULL
75,55,500,NULL
95,55,127,NULL
98,55,99,NULL
110,55,677,NULL
117,55,405,39
117,55,405,824
117,55,405,24
126,55,1262,NULL
129,55,157,NULL
130,55,385,NULL
132,55,850,NULL
134,55,177,NULL
135,55,954,NULL
136,55,376,NULL
137,55,1108,NULL
144,55,82,NULL
147,55,502,NULL
209,55,28,NULL
214,55,329,NULL
227,55,8119,2221
227,55,8119,2220
227,55,8119,670
227,55,8119,209
227,55,8119,18
227,55,8119,2227
227,55,8119,2223
227,55,8119,2222
227,55,8119,24
227,55,8119,39
227,55,8119,130
230,55,875,NULL
232,55,332,NULL
233,55,65,NULL
240,55,97,NULL
243,55,2783,2333
243,55,2783,18
252,55,1701,130
252,55,1701,39
252,55,1701,24
252,55,1701,18
252,55,1701,360
252,55,1701,228
253,55,1363,NULL
256,55,1941,NULL
